nombre,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,genero
Abril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003071290802098,,,,,,,,,0.0001046676540315,0.0003061418171353,,,9.798244350577265e-05,,,0.0001978470286344,,0.0004537365659946,,0.0005363176430627,0.0005371795388313,0.0017124401930262,0.0029699481382839,0.0059643143145929,0.0072527586385535,0.0086610603246617,0.0147360656658625,0.0207457341032501,0.0299529812809856,0.0479100300068082,0.0937595143418612,0.1296938442844017,0.1283012285316651,0.1128335818438319,0.1265285768512247,0.170087666118152,0.1945386491093518,0.1847394054750042,0.128788007305998,0.0958113077453459,0.096196384662078,0.0769171602184447,0.070386571041588,0.0561667753539348,0.0454430306612683,0.0456161413056429,0.0434965694444794,
Agustin,0.0464782186166392,0.0594275149394169,0.074216250799744,0.0537990398940572,0.053127677806341,0.0674327779494816,0.0501990450507243,0.0597214349340027,0.0629500280256974,0.0601028074337682,0.0686010290154352,0.0586635379446429,0.0497965105556306,0.0582909316743116,0.063846523173734,0.0567373203909201,0.0527182297045618,0.0506194009645154,0.069919204474829,0.0530828633640334,0.0588999918758631,0.055180906244736,0.0564191567216708,0.0481756260978484,0.047323689229897,0.0483381481473036,0.0423843681286763,0.0445125664014109,0.0454659568705979,0.037670368247887,0.0335327440300802,0.0428866170572826,0.0290134296149367,0.025900313393792,0.0327506595119072,0.0323431446828584,0.0239624269145979,0.0287017364550555,0.0267557151751213,0.0219542279485701,0.0257180975037371,0.0216010226633416,0.0253992798745051,0.0213407019352064,0.0274222014607105,0.0211126194035919,0.0195026965933242,0.0209630390836073,0.0213499891156918,0.0175426563538709,0.028409861321136,0.0287672777917882,0.0321732099585122,0.0298781085917038,0.0388559816438983,0.0364243436029746,0.0484724543797668,0.0448041851226575,0.0560520629031016,0.0565358699028308,0.0525747139742625,0.0597132755802911,0.0715217008513357,0.0840366354305268,0.0850302324673922,0.0930861237917931,0.1043137815757012,0.1190747977742861,0.1218401197338183,0.1280288454206209,0.1508573900637704,0.1550462178343854,0.1647107733046539,0.1773212763549649,0.2129306836469764,0.3047529305421276,0.3135165121498155,0.3199125372500899,0.3098900447526748,0.2974313209211902,0.2485551144531386,0.2557862014384562,0.2830383864045344,0.2621876488978691,0.2319239289513039,0.2536176565389247,0.2462077683291197,0.2669835488749653,0.2455855044117485,0.2746630548215911,0.1972148011022992,0.165550405098508,0.1703229554720646,0.1702039673914414,M
Agustina,0.0802805594287404,0.0759351579781438,0.0537428023032629,0.0537990398940572,0.053127677806341,0.0604085302464106,0.0385248485273001,0.0597214349340027,0.0439787867028844,0.0411229735073151,0.0406006090091351,0.0513305957015625,0.0295090432922255,0.0310521785554744,0.0367755973480708,0.0345152032378097,0.0380262640491921,0.0361006580522125,0.0452002938019097,0.0412491040153636,0.0463752809597313,0.0403691893053595,0.0274035904076687,0.0377993373998502,0.0309886086835366,0.0337454996500044,0.0335632559800685,0.0275054065970982,0.0217445880685468,0.0240449159029066,0.0236118138436659,0.0222160403675112,0.0172563535618251,0.0209052529535607,0.0160154323986798,0.0178691407087615,0.0204124377420648,0.0140008470512466,0.012520302613999,0.0117312668427473,0.0188063587996078,0.0174097794600066,0.0190095239312334,0.0159660066330063,0.0132328065188312,0.0189231625765527,0.0173527930318554,0.01363330513829,0.014093783664607,0.0183340543848726,0.017691595459071,0.0172350210558731,0.0219308022938173,0.0236769917141803,0.0243408160872696,0.030458287323177,0.0346960726086752,0.0439218269911391,0.0467967129988789,0.0576136767813943,0.0491983561960988,0.0554840047972014,0.0638056667345941,0.0701251653761491,0.070782904295161,0.0807900115492372,0.0927829522498525,0.1060034289960562,0.1138772728362461,0.1554807984825973,0.1778160907657305,0.1771005247148851,0.1541668737789787,0.1726806368911297,0.2514206413874747,0.3418477258651988,0.2954451850419843,0.2804712655343254,0.2825049642867728,0.294776812744673,0.2295487459812238,0.194506675002667,0.2099030957398693,0.1936468543852094,0.1859390120040626,0.1795398126000192,0.1637554585152838,0.1685580144791848,0.1459594683192868,0.1478784110842196,0.1033931463912321,0.0951081521908207,0.0938421613427031,0.0921622964171434,F
Alberto,0.1859128744665568,0.2773284030506124,0.2175303902751119,0.2193345472603873,0.2433590402742073,0.266921412716698,0.2206423142927188,0.2024455421491618,0.244901478894494,0.2222222222222222,0.2359035385530782,0.2539864540557837,0.2133257921333808,0.1955742473932513,0.216056634419916,0.2463345326972449,0.2259970011105397,0.241325051109899,0.2150545228543985,0.2265319646745378,0.2220597394860129,0.2032980756385011,0.2141241328912937,0.1909731229417272,0.1924176399652158,0.1846882075439432,0.1951402126533475,0.157473701891784,0.1702008211547167,0.156492327668084,0.1627032550571941,0.1595691247266461,0.149997534806634,0.1298715714460145,0.1434190968735716,0.1259774419967692,0.1150196491900699,0.1132318505269568,0.1078804156740467,0.0953584404789038,0.1019079613585585,0.0833412590816986,0.0841850345526052,0.0763522891459609,0.077802525074574,0.0661528741312548,0.0592759124804973,0.0598106289937887,0.0597241525589287,0.0505175743122751,0.0468762711798744,0.0397926221437071,0.0428976132780163,0.0322458077631218,0.0356179831735734,0.0324469727497762,0.0269404799079125,0.0235295501738245,0.0311978086659193,0.0256714001985124,0.0295190137176593,0.0296048954816283,0.0288856661806224,0.0259302230945544,0.0246832691901074,0.0236814013560334,0.0208270018056027,0.0207709421681461,0.0238885406927163,0.0161340425890563,0.0170181768443051,0.0122112772996055,0.0129539337029723,0.0110724029312558,0.0083865733608883,0.0074615967603878,0.0067242147377976,0.0076114734890071,0.0045049050117068,0.0053090163530344,0.0058892972729876,0.0043416668527381,0.0042100907454988,0.0028027834187332,0.0037321092015152,0.0031101384859845,0.0022983222247759,0.0036009341852114,0.001831360957582,0.0026644758753913,0.0021036245450911,0.0024443683974276,0.0012482028715474,0.0012607701288254,M
Alma,0.0084505852030253,0.0099045858232361,0.0051183621241202,0.0020691938420791,,0.0056193981624568,0.0011674196523424,0.005061138553729,0.0017246583020739,0.0023724792408066,0.001400021000315,0.0026665244520292,0.001844315205764,0.0005447750623767,0.0015323165561696,0.0018912440130306,0.0008642332738452,,0.001765636476637,0.0010143222298859,0.0006770114008719,0.0011617032893628,0.0002686626510555,0.0002470544928094,0.0002402217727405,0.0018240810621624,0.0004302981535906,,0.0001976780733504,0.0002003742991908,,0.0001931829597174,,0.000185002238527,,,0.0003549989172533,,,0.0001675895263249,0.0008036905469917,0.0003224033233334,,0.0007903963679706,0.0001594314038413,,,,0.0005581696500834,,0.0001291357332778,,0.0009639913096183,0.0002254951591826,0.0002233102393327,0.000209335308063,0.0001020472723784,0.0001960795847818,0.0003119780866591,0.000391929774023,0.0004823368254519,0.0001006969234068,9.892351431720024e-05,0.0001892717014201,0.0003629892527956,,,8.952992313856098e-05,0.0001712440193026,0.0004816132116136,0.0007157177177511,0.0003700387060486,0.0003765678402026,0.0013840503664069,0.0012359160742361,0.0026648559858528,0.0016810536844494,0.0053049663711262,0.0064017071218991,0.0074579039245007,0.0120462898765656,0.0164983340404047,0.0277865989202921,0.0349073934878601,0.0391871466159099,0.0629096193755972,0.0725407952194897,0.146952409367916,0.1426630185956391,0.1971712147789595,0.1785977238782422,0.1711057878199345,0.1534154802120129,0.1519228005234717,F
Amalia,0.2492922634892466,0.1353626729175608,0.1714651311580294,0.1386359874193014,0.1662382176520994,0.1601528476300188,0.1214116438436124,0.1447485626366507,0.103479498124434,0.0941083432186635,0.1043015645234678,0.0913284624820009,0.0743873799658186,0.0800819341693814,0.0745727390669213,0.0685575954723618,0.0764846447353069,0.0714165191902465,0.0575597491383694,0.0510542189042615,0.0605925203780431,0.0502436672649438,0.0443293374241699,0.0397757733423261,0.0413181449113821,0.0399017732348025,0.0370056412087935,0.0289751611480882,0.0322215259561194,0.0328613850673057,0.0349216742561782,0.0299433587562108,0.0284445388381733,0.0227552753388316,0.0203342006859643,0.0225151172930396,0.0225424312455847,0.0152259211682306,0.0149214565399714,0.0139099306849719,0.0128590487518685,0.0175709811216734,0.0158146459595975,0.0112236284251826,0.0106819040573697,0.0131367409622349,0.0139743731495472,0.0105548168812568,0.0087911719888142,0.0073863816226825,0.0103308586622312,0.0083640543359384,0.0071094359084352,0.0091325539468981,0.006587652060316,0.0079547417063967,0.0077555927007627,0.0074510242217111,0.0072794886887145,0.0070547359324156,0.0079103239374119,0.0095662077236554,0.0083095752026448,0.0086118624146148,0.008348752814301,0.0073776673455335,0.0057207215260024,0.0075205135436391,0.0059079186659405,0.0047358632475339,0.0050895482151192,0.004662487696213,0.002108779905135,0.0032565890974281,0.0035311887835319,0.0017055078309458,0.0029418439477864,0.0014992296266226,0.0011855013188702,0.0027809133277799,0.0010707813223613,0.0013645238680034,0.0030072076753562,0.0054781675911605,0.003865398815855,0.003675618210709,0.0073259020914732,0.0097739642170025,0.0133689349903487,0.0128783000643915,0.012411384816038,0.017443901745279,0.0157727453768267,0.0172725507649092,F
Amelia,0.1816875818650441,0.17167948760276,0.1586692258477287,0.1696738950504883,0.1233933161953727,0.1798207411986176,0.1249139028006397,0.1356385132399384,0.1241753977493209,0.1028074337682878,0.0791011865177977,0.0826622580129059,0.0934453037587143,0.0757237336703675,0.0873420437016681,0.0770681935309998,0.0700028951814673,0.0557205809066758,0.0692129498841742,0.0578163671035014,0.0609310260784791,0.0441447249957888,0.0497025904452814,0.0387875553710882,0.038435483638495,0.0417258542969649,0.0354995976712263,0.0285552312763768,0.026488861828957,0.0330617593664966,0.0265880928995902,0.0305229076353633,0.0263586059900406,0.0214602596691419,0.0212339440791486,0.0167969922662359,0.0131349599383721,0.0136508258749654,0.0156075005188207,0.0129043935270221,0.01173388198608,0.0120901246250046,0.0118210484950527,0.009168597868459,0.0081310015959083,0.007819488667997,0.00906030786619,0.0095286541289124,0.0073957478636056,0.0040888898268421,0.0059402437307829,0.0064631328959524,0.0034944684973664,0.00507364108161,0.0048011701456541,0.0030353619669145,0.0047962218017874,0.003039233564119,0.0034317589532511,0.0038213152967251,0.0043410314290675,0.0045313615533104,0.0036601700297364,0.0038800698791121,0.0026316720827688,0.0033700455775893,0.0033072921322201,0.0023277780016025,0.002483038279888,0.0030502170068862,0.0025447741075596,0.0005920619296778,0.0018075256329728,0.0017097092761497,0.0007062377567063,0.0011725366337752,0.0007354609869466,0.0006919521353642,0.0007113007913221,0.000884836058839,0.0009369336570662,0.0011164286192755,0.0015637479911852,0.0019109886945908,0.0013328961433982,0.0038169881418901,0.0030165479200183,0.0053156647495978,0.0058603550642624,0.0117681017829784,0.0125165660432925,0.0177772247085646,0.0189499890498566,0.0234503243961541,F
Ana,0.47745806397093,0.4589124764766086,0.473448496481126,0.4490150637311703,0.3736075407026563,0.3638560310190779,0.3093662078707433,0.2793748481658434,0.2914672530504893,0.3028865164096481,0.2639039585593784,0.2386539384566156,0.2268507703089842,0.2119174992645536,0.2007334688582198,0.2160746284887541,0.1763035878644363,0.1608833674065993,0.1627916831459404,0.1487672603832785,0.144203428385734,0.131853323342685,0.1257341206940093,0.1101863037930276,0.102334475187493,0.1190212893060967,0.0916535067148026,0.0753774119722006,0.0774898047533669,0.0759418593933467,0.0708354415309979,0.0645231085456414,0.0574579684531101,0.0499506044023132,0.0457069643737606,0.0461023830286049,0.0461498592429293,0.0374522658620846,0.0360173088895863,0.0343558528966173,0.0287721215823059,0.0301447107316782,0.0317890358177769,0.0374647878418069,0.0299731039221719,0.0300268364851085,0.0297915207803535,0.0241881220195469,0.0210709042906501,0.0204444491342105,0.0210491245242962,0.0234446977598274,0.0200028196745806,0.0223240207590843,0.0267972287199298,0.0202008572280865,0.0202053599309344,0.0176471626303684,0.0196546194595291,0.0220460497887988,0.0197758098435299,0.024872140081504,0.0221588672070528,0.0200628003505311,0.0229590702393278,0.0164858986363156,0.0143018038150061,0.0162944460112181,0.0148982296793284,0.0140470520053972,0.0120876770109083,0.0125073082644444,0.0140836372235803,0.015713042395091,0.0143895942928926,0.0171616725488921,0.0172308002656064,0.0109559088099345,0.0187309208381494,0.0250282199500194,0.0289110957037576,0.0275385726087959,0.0291097702974489,0.0341429980100237,0.0381208297011913,0.0364734422447283,0.0382096069868995,0.0485268749721356,0.0485310653759234,0.0404112174434354,0.0422828533563329,0.0434430928815548,0.0393751269479056,0.0370666417874694,F
Ana Maria,0.1985887522710948,0.2476146455809039,0.2252079334612924,0.2420956795232577,0.2656383890317052,0.2093225815515158,0.2544974842106492,0.2722892541906227,0.2655973785193808,0.2886516409648082,0.2534038010570159,0.2926510586102074,0.2926313459812371,0.3018053845567165,0.3851222277839638,0.3919603217006067,0.4770567671625925,0.4967764466750116,0.5533504717780665,0.6839912903531193,0.8496493080943484,0.8974157910328123,1.0770685680818024,1.1777087672227864,1.1662767066555846,1.12386194442481,1.1469597283958055,1.2226258214878116,1.1384280244251028,1.198037934862323,1.1218587854797266,1.049949386064554,1.0844954507700886,1.0152922850366488,0.8965043169688005,0.822159164010121,0.7824176136262785,0.7362695443074306,0.6472824940442807,0.6148859720862885,0.57142397891116,0.506979225941861,0.4819473420212715,0.4399346184124414,0.4025642946993841,0.3984811425211282,0.3637943955085443,0.3145921809330165,0.2811779612295361,0.255885363357216,0.2186267964394695,0.2101151831664535,0.168216483528401,0.1654006992604886,0.1674826794995617,0.1420340065207948,0.1243956250293386,0.1200007058865052,0.134150577263453,0.1081726176303729,0.1094904593775925,0.1092561618964855,0.0936805680583886,0.0863078958475681,0.0793131517358599,0.0647595244774607,0.0632854818814022,0.049957697111317,0.0493182775591562,0.0533787976205096,0.0448516436457388,0.0361157777103485,0.039012428244998,0.0411958520824666,0.0287791885857853,0.0314453006330631,0.0230094223059013,0.0207585640609286,0.0176639696511662,0.0247754096474939,0.0228879507654747,0.0162502387916769,0.0117882540873966,0.0150331110641149,0.0139954095056821,0.0093304154579537,0.012784417375316,0.0102883833863185,0.006409763351537,0.0097697448764349,0.0086248606348738,0.0086663970454252,0.0062410143577372,0.0071863897343053,F
Analia Veronica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001786914070876,0.0001774994586266,0.0001750105881405,0.0006860439788492,,0.0001607381093983,0.0001612016616667,0.0006389755943271,0.0006323170943764,0.0003188628076826,0.0032841852405587,0.0038391135026228,0.0027852988992205,0.0429790630564253,0.1564330107946691,0.1716213895263172,0.1779262467826904,0.1906292814770274,0.1718273112971947,0.1598901313622482,0.1631768726351652,0.1228649159436617,0.120196785471287,0.0996250023398356,0.0678038509059946,0.0546005286411606,0.0601160632739187,0.0436252698138853,0.0337849987034888,0.0279501724652687,0.0212221789075223,0.0149275077319126,0.0104750010072116,0.0066785167528024,0.0079466179916247,0.0082705158495688,0.0051065341434714,0.003238483425743,0.003582248007171,0.0026483915876489,0.0029846387041551,0.0016810536844494,0.0010379282030464,0.0010669511869831,0.0015168618151526,0.0006692383264758,0.0006202381218197,0.0008420181490997,0.000127399246306,0.0005331584573593,0.0001413699311811,0.0004309354171454,0.0010288383386318,0.000915680478791,0.0004440793125652,0.0001051812272545,,,,F
